team,season,seed,win_pct,off_rtg,def_rtg,net_rtg,srs,total_playoff_games,player1vorp,player2vorp,player3vorp,player4vorp,player5vorp,player6vorp,player7vorp,player8vorp,player9vorp,champ_scr
Detroit Pistons,2018,9,0.476,107.2,107.3,-0.2,-0.26,131,3.4,2.7,1.3,1.2,1.0,0.5,0.5,0.5,0.5,0
Golden State Warriors,2018,2,0.707,113.6,107.7,6.0,5.79,764,5.5,4.0,2.8,1.3,1.0,1.0,0.7,0.5,0.5,1
Houston Rockets,2018,1,0.793,114.7,106.1,8.7,8.21,597,7.7,4.2,2.8,1.5,1.3,0.9,0.7,0.5,0.5,0.6
Indiana Pacers,2018,5,0.585,109.5,108.1,1.4,1.18,264,5.0,2.4,1.4,0.8,0.8,0.5,0.4,0.4,0.3,0.2
Los Angeles Clippers,2018,10,0.512,110.3,110.2,0.0,0.15,242,2.8,2.6,2.1,1.7,0.5,0.4,0.4,0.3,0.2,0
Los Angeles Lakers,2018,11,0.427,106.5,108.0,-1.5,-1.44,185,1.4,1.4,1.3,1.3,0.8,0.7,0.4,0.3,0.1,0
Memphis Grizzlies,2018,14,0.268,104.5,111.0,-6.5,-5.81,271,2.7,2.6,0.5,0.4,0.2,0.2,0.1,0.1,0.0,0
Miami Heat,2018,6,0.537,106.8,106.3,0.5,0.15,460,1.9,1.8,1.7,1.6,1.4,1.2,0.9,0.6,0.4,0.2
Milwaukee Bucks,2018,7,0.537,109.8,110.1,-0.3,-0.45,300,5.7,2.6,1.5,0.5,0.3,0.2,0.2,0.0,0.0,0.2
Minnesota Timberwolves,2018,8,0.573,113.4,111.1,2.3,2.35,324,5.2,4.2,1.4,1.1,1.0,0.7,0.3,0.0,0.0,0.2
New Orleans Pelicans,2018,6,0.585,109.6,108.3,1.3,1.48,192,5.9,2.9,2.7,1.6,0.7,0.3,0.1,0.1,0.1,0.4
New York Knicks,2018,11,0.354,107.1,110.7,-3.6,-3.53,209,1.9,1.8,1.5,1.0,0.9,0.7,0.7,0.2,0.2,0
Oklahoma City Thunder,2018,4,0.585,110.7,107.2,3.5,3.42,512,6.1,3.6,2.0,1.0,0.6,0.5,0.5,0.2,0.1,0.2
Orlando Magic,2018,14,0.305,105.2,110.1,-4.9,-4.92,230,2.0,1.1,0.8,0.7,0.6,0.2,0.2,0.1,0.1,0
Philadelphia 76ers,2018,3,0.634,109.5,105.0,4.5,4.3,235,4.5,2.6,2.3,1.9,1.7,0.9,0.9,0.8,0.6,0.4
Phoenix Suns,2018,15,0.256,103.5,112.9,-9.3,-8.8,118,1.4,0.8,0.8,0.7,0.2,0.1,0.0,0.0,-0.1,0
Portland Trail Blazers,2018,3,0.598,109.1,106.4,2.7,2.6,195,6.3,2.4,1.3,1.1,1.1,1.0,0.5,0.3,0.1,0.2
Sacramento Kings,2018,12,0.329,103.7,111.1,-7.3,-6.59,286,1.5,1.0,0.6,0.4,0.3,0.2,0.1,0.0,-0.1,0
San Antonio Spurs,2018,7,0.573,107.9,104.8,3.0,2.89,950,3.7,2.5,2.4,1.1,1.1,1.0,0.9,0.6,0.5,0.2
Toronto Raptors,2018,1,0.72,113.8,105.9,7.9,7.29,325,4.5,3.2,1.9,1.9,1.7,1.4,1.0,0.9,0.8,0.4
Utah Jazz,2018,5,0.585,108.4,103.9,4.5,4.47,210,2.8,2.5,2.2,1.9,1.6,1.1,0.9,0.6,0.5,0.4
Washington Wizards,2018,8,0.524,109.3,108.7,0.6,0.53,399,3.4,3.1,1.8,1.3,0.8,0.4,0.3,0.2,0.2,0.2
Atlanta Hawks,2019,12,0.354,108.1,113.9,-5.7,-6.06,163,1.3,1.0,0.9,0.5,0.3,0.2,0.2,0.0,0.0,0
Boston Celtics,2019,4,0.598,112.2,107.8,4.4,3.9,418,5.1,3.6,1.5,1.3,1.1,0.8,0.6,0.5,0.3,0.4
Brooklyn Nets,2019,7,0.512,109.6,109.7,-0.1,-0.4,146,3.4,1.9,1.4,1.3,0.9,0.7,0.6,0.2,0.1,0.2
Charlotte Hornets,2019,9,0.476,111.4,112.5,-1.1,-1.32,414,4.4,1.8,1.0,0.9,0.7,0.5,0.4,0.4,0.0,0
Chicago Bulls,2019,13,0.268,104.8,113.2,-8.4,-8.32,75,1.5,1.2,0.7,0.2,0.2,0.1,0.1,0.0,0.0,0
Cleveland Cavaliers,2019,14,0.232,107.7,117.6,-9.9,-9.39,447,2.0,0.8,0.6,0.4,0.0,0.0,-0.1,-0.1,-0.2,0
Dallas Mavericks,2019,14,0.402,109.4,110.7,-1.3,-0.86,336,3.4,2.1,0.9,0.6,0.3,0.3,0.3,0.2,0.1,0
Denver Nuggets,2019,2,0.659,113.0,108.9,4.0,4.19,148,7.0,1.8,1.8,1.7,1.6,1.0,0.3,0.2,0.0,0.4
Detroit Pistons,2019,8,0.5,109.0,109.2,-0.2,-0.56,201,4.7,2.7,1.4,0.7,0.3,0.2,0.2,0.2,0.0,0.2
Golden State Warriors,2019,1,0.695,115.9,109.5,6.4,6.42,801,5.1,5.1,1.8,1.5,1.2,1.0,0.9,0.4,0.3,0.8
Houston Rockets,2019,3,0.646,115.5,110.7,4.8,4.96,552,9.3,2.8,2.8,1.0,0.4,0.4,0.3,0.2,0.1,0.4
Indiana Pacers,2019,5,0.585,109.9,106.5,3.4,2.76,271,2.4,2.4,2.2,2.1,1.7,1.4,0.9,0.2,0.2,0.2
Los Angeles Clippers,2019,8,0.585,112.4,111.5,0.8,1.09,147,3.3,2.9,2.1,1.5,0.8,0.4,0.2,0.1,0.0,0.2
Los Angeles Lakers,2019,10,0.451,107.8,109.5,-1.7,-1.33,529,4.9,1.4,0.8,0.6,0.4,0.4,0.3,0.3,0.2,0
Memphis Grizzlies,2019,12,0.402,106.1,108.8,-2.7,-2.08,343,3.9,1.5,1.3,0.9,0.7,0.7,0.2,0.1,0.1,0
Miami Heat,2019,10,0.476,107.3,107.6,-0.2,-0.45,535,1.8,1.8,1.5,1.2,1.2,0.7,0.4,0.3,0.2,0
Milwaukee Bucks,2019,1,0.732,113.8,105.2,8.5,8.04,434,7.4,2.9,2.4,1.9,1.7,1.1,1.0,0.5,0.4,0.6
Minnesota Timberwolves,2019,11,0.439,111.4,112.9,-1.5,-1.02,327,5.1,1.2,1.1,0.8,0.7,0.6,0.5,0.2,0.2,0
New Orleans Pelicans,2019,13,0.402,111.4,112.6,-1.3,-1.1,142,5.3,3.1,2.0,0.2,0.2,0.1,0.1,0.0,0.0,0
New York Knicks,2019,15,0.207,104.5,113.7,-9.2,-8.93,75,2.1,1.6,0.8,0.6,0.3,0.0,0.0,0.0,0.0,0
Oklahoma City Thunder,2019,6,0.598,110.3,107.0,3.3,3.56,403,6.6,4.7,2.1,1.5,1.1,0.1,0.0,0.0,-0.1,0.2
Orlando Magic,2019,6,0.512,108.9,108.1,0.7,0.28,128,5.5,1.7,1.5,1.4,0.8,0.5,0.3,0.1,0.1,0.2
Philadelphia 76ers,2019,3,0.622,112.6,110.0,2.6,2.25,310,3.8,3.8,3.2,2.6,1.3,0.9,0.4,0.2,0.1,0.4
